13
0 1-52; 2-48; 3-81; 4-60; 5-7; 6-28; 7-91; 8-54; 9-86; 10-2; 11-99; 12-17
1 0-52; 2-86; 3-78; 4-42; 5-39; 6-99; 7-41; 8-63; 9-6; 10-77; 11-0; 12-6
2 0-48; 1-86; 3-2; 4-82; 5-12; 6-99; 7-19; 8-23; 9-86; 10-48; 11-57; 12-53
3 0-81; 1-78; 2-2; 4-68; 5-92; 6-88; 7-88; 8-56; 9-60; 10-29; 11-82; 12-73
4 0-60; 1-42; 2-82; 3-68; 5-55; 6-74; 7-92; 8-86; 9-33; 10-39; 11-26; 12-62
5 0-7; 1-39; 2-12; 3-92; 4-55; 6-66; 7-37; 8-39; 9-75; 10-16; 11-91; 12-32
7 0-91; 1-41; 2-19; 3-88; 4-92; 5-37; 6-51; 8-32; 9-55; 10-73; 11-88; 12-94
8 0-54; 1-63; 2-23; 3-56; 4-86; 5-39; 6-66; 7-32; 9-58; 10-85; 11-93; 12-54
9 0-86; 1-6; 2-86; 3-60; 4-33; 5-75; 6-29; 7-55; 8-58; 10-29; 11-68; 12-70
10 0-2; 1-77; 2-48; 3-29; 4-39; 5-16; 6-0; 7-73; 8-85; 9-29; 11-23; 12-53
11 0-99; 1-0; 2-57; 3-82; 4-26; 5-91; 6-64; 7-88; 8-93; 9-68; 10-23; 12-39
12 0-17; 1-6; 2-53; 3-73; 4-62; 5-32; 6-22; 7-94; 8-54; 9-70; 10-53; 11-39
